,Date,Team,Acquired,Relinquished,Notes,Injury Type
24,2010-10-30,Pistons,,Will Bynum,sore right hamstring (DNP),hamstring
25,2010-11-02,Pistons,,Richard Hamilton,sore right foot (DNP),foot
26,2010-11-02,Pistons,,Will Bynum,sore right hamstring (DNP),hamstring
27,2010-11-03,Hawks,,Jamal Crawford,turf toe (DNP),foot
28,2010-11-03,Jazz,,Jeremy Evans,sprained right wrist (DNP),wrist
29,2010-11-03,Jazz,,Kyrylo Fesenko,stomach illness (DNP),illness
30,2010-11-03,Nuggets,,Nene / Nene Hilario / Maybyner Hilario,strained left groin (DNP),groin
31,2010-11-03,Pistons,,Richard Hamilton,sore right foot (DNP),foot
32,2010-11-03,Pistons,,Will Bynum,sore right hamstring (DNP),hamstring
33,2010-11-03,Warriors,,Brandan Wright,stomach virus (DTD),illness
34,2010-11-04,Blazers,,Elliot Williams,"dislocated patella in right knee (surgery, out for season)",knee
35,2010-11-05,Bucks,,Andrew Bogut,migraine headache (DNP),head
36,2010-11-05,Hawks,,Marvin Williams,bone bruise in right knee (DNP),bruise
37,2010-11-05,Jazz,,Jeremy Evans,sprained right ankle (DNP),ankle
38,2010-11-05,Nuggets,,Nene / Nene Hilario / Maybyner Hilario,strained left groin (DNP),groin
39,2010-11-06,Blazers,,Rudy Fernandez,back injury (DNP),back
40,2010-11-06,Nuggets,,Nene / Nene Hilario / Maybyner Hilario,strained left groin (DNP),groin
41,2010-11-06,Raptors,,Sonny Weems,ankle injury (DTD),ankle
42,2010-11-07,Hawks,,Marvin Williams,bone bruise in right knee (DNP),bruise
43,2010-11-08,Hawks,,Marvin Williams,bone bruise in right knee (DNP),bruise
44,2010-11-08,Magic,,Mickael Pietrus,DNP,Misc.
45,2010-11-09,Bucks,,Carlos Delfino,strained neck (DNP),neck
46,2010-11-10,Bucks,,Carlos Delfino,strained neck (DNP),neck
47,2010-11-10,Clippers,,Chris Kaman,sprained left ankle (DNP),ankle
48,2010-11-10,Hawks,,Marvin Williams,bone bruise in right knee (DNP),bruise
49,2010-11-10,Raptors,,David Andersen,flu (DTD),illness
50,2010-11-10,Timberwolves,,Wayne Ellington,thigh injury (DTD),leg
51,2010-11-10,Clippers,,Eric Gordon,sore left shoulder (DNP),shoulder
52,2010-11-11,Celtics,,Jermaine O'Neal,sore left knee (DNP),knee
53,2010-11-11,Rockets,,Yao Ming,sprained left ankle (DTD),ankle
54,2010-11-11,Spurs,,James Anderson,stress fracture in right foot (out indefinitely),foot
55,2010-11-11,Warriors,,David Lee,placed on IL with infection in left elbow,illness
56,2010-11-12,Warriors,,David Lee,surgery on left elbow to repair infection,illness
57,2010-11-12,Clippers,,Randy Foye,strained left hamstring (DNP),hamstring
58,2010-11-13,Bucks,,Carlos Delfino,strained neck (DNP),neck
59,2010-11-13,Celtics,,Jermaine O'Neal,sore left knee (DNP),knee
60,2010-11-13,Raptors,,Reggie Evans,flu-like symptoms (DNP),illness
61,2010-11-14,Rockets,,Chase Budinger,sprained left ankle (DNP),ankle
62,2010-11-14,Timberwolves,,Nikola Pekovic,sprained left ankle (DNP),ankle
63,2010-11-14,Timberwolves,,Wayne Ellington,bruised left thigh (DNP),bruise
64,2010-11-15,Clippers,,Randy Foye,strained left hamstring (DNP),hamstring
65,2010-11-15,Jazz,,Raja Bell,strained left abductor (DNP),groin
66,2010-11-15,Timberwolves,,Nikola Pekovic,left foot injury (DNP),foot
67,2010-11-15,Timberwolves,,Wayne Ellington,bruised left thigh (DNP),bruise
68,2010-11-16,Blazers,,Brandon Roy,sore left knee (DNP),knee
69,2010-11-16,Bucks,,Carlos Delfino,strained neck (DNP),neck
70,2010-11-17,Clippers,,Randy Foye,strained left hamstring (DNP),hamstring
71,2010-11-17,Jazz,,Kyrylo Fesenko,dizziness (DNP),Misc.
72,2010-11-17,Rockets,,Chase Budinger,sprained left ankle (DNP),ankle
73,2010-11-18,Blazers,,Brandon Roy,sore left knee (DNP),knee
74,2010-11-18,Magic,,Jason Williams,foot injury (DTD),foot
75,2010-11-19,Blazers,,Greg Oden,mircofracture surgery on left knee (out for season),knee
76,2010-11-19,Bucks,,Carlos Delfino,strained neck (DNP),neck
77,2010-11-19,Heat,,Juwan Howard,broken nose (DNP),face
78,2010-11-19,Knicks,,Timofey Mozgov,left calf injury (DNP),calf
79,2010-11-19,Warriors,,Brandan Wright,strained lower back (DNP),back
80,2010-11-20,Blazers,,Brandon Roy,sore left knee (DNP),knee
81,2010-11-20,Bucks,,Carlos Delfino,strained neck (DNP),neck
82,2010-11-20,Suns,,Steve Nash,strained groin (DNP),groin
83,2010-11-21,Wizards,,John Wall (a),sprained left foot (DNP),foot
84,2010-11-22,Hornets,,Marcus Thornton (T.),DNP,Misc.
85,2010-11-22,Warriors,,Brandan Wright,strained lower back (DNP),back
86,2010-11-23,Heat,,Udonis Haslem,surgery on left foot to repair torn ligament (out for season),foot
87,2010-11-24,Bucks,,Andrew Bogut,sore back (DNP),back
88,2010-11-24,Bucks,,Carlos Delfino,strained neck (DNP),neck
89,2010-11-24,Bulls,,Taj Gibson,right ankle/foot injury (DNP),ankle
90,2010-11-24,Celtics,,Delonte West,broken right wrist (out indefinitely),wrist
92,2010-11-24,Warriors,,Brandan Wright,strained lower back (DNP),back
93,2010-11-26,Bucks,,Andrew Bogut,sore back (DNP),back
94,2010-11-26,Bucks,,Carlos Delfino,strained neck (DNP),neck
95,2010-11-26,Raptors,,Reggie Evans,broken right foot (out indefinitely),foot
96,2010-11-26,Warriors,,Brandan Wright,strained lower back (DNP),back
97,2010-11-27,Bucks,,Andrew Bogut,sore back (DNP),back
98,2010-11-27,Bucks,,Corey Maggette,sore left ankle (DNP),ankle
99,2010-11-27,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP),foot
100,2010-11-27,Wizards,,John Wall (a),bruised right knee (P) / sore left knee (CBC) (DNP),bruise
101,2010-11-28,Blazers,,Sean Marks,sprained right ankle (DNP),ankle
102,2010-11-28,Clippers,,Randy Foye,strained left hamstring (DNP),hamstring
103,2010-11-28,Knicks,,Toney Douglas,bruised right quadriceps (DNP),bruise
104,2010-11-28,Lakers,,Devin Ebanks,gastroenteritis (DNP),illness
105,2010-11-28,Raptors,,Predrag Stojakovic / Peja Stojakovic,swollen left knee (DNP),knee
106,2010-11-28,Raptors,,Reggie Evans,broken right foot (DNP),foot
107,2010-11-29,Bucks,,Andrew Bogut,sore back (DNP),back
108,2010-11-29,Bucks,,Corey Maggette,illness (DNP),illness
109,2010-11-29,Bucks,,Drew Gooden,left foot injury (DNP),foot
110,2010-11-29,Wizards,,John Wall (a),bruised right knee (P) (DNP),bruise
111,2010-11-30,Celtics,,Delonte West,surgery to repair broken right wrist,wrist
113,2010-12-01,Bucks,,Andrew Bogut,sore back (DNP),back
114,2010-12-01,Raptors,,Predrag Stojakovic / Peja Stojakovic,swollen left knee (DNP),knee
115,2010-12-02,Hawks,,Joe Johnson,arthroscopic surgery on right elbow to remove loose particle (out indefinitely),arm
116,2010-12-03,Hornets,,David West,stomach virus (DNP),illness
117,2010-12-03,Magic,,Dwight Howard,stomach virus (DNP),illness
118,2010-12-03,Magic,,Jameer Nelson,stomach virus (DNP),illness
119,2010-12-03,Raptors,,Predrag Stojakovic / Peja Stojakovic,swollen left knee (DNP),knee
120,2010-12-03,Magic,,J.J. Redick,stomach virus (DNP),illness
121,2010-12-04,Magic,,Dwight Howard,stomach virus (DNP),illness
122,2010-12-04,Magic,,J.J. Redick,stomach virus (DNP),illness
123,2010-12-04,Magic,,Jameer Nelson,stomach virus (DNP),illness
124,2010-12-04,Magic,,Ryan Anderson,sprained right foot (DNP),foot
125,2010-12-04,Timberwolves,,Michael Beasley,sprained right ankle (DNP),ankle
126,2010-12-05,Celtics,,Rajon Rondo,strained hamstring (DNP),hamstring
127,2010-12-05,Raptors,,Predrag Stojakovic / Peja Stojakovic,sore/swollen left knee (DNP),knee
128,2010-12-05,Thunder,,D.J. White,sprained right ankle (DTD),ankle
129,2010-12-05,Warriors,,Rodney Carney,sprained left foot (DTD),foot
130,2010-12-06,Magic,,Jameer Nelson,stomach flu (DNP),illness
131,2010-12-06,Bucks,,Drew Gooden,patella tendinitis in left foot (DNP),knee
133,2010-12-08,Jazz,,Kyrylo Fesenko,sprained left ankle (DNP),ankle
134,2010-12-08,Nuggets,,Carmelo Anthony,right knee inflammation (DNP),knee
135,2010-12-08,Raptors,,Predrag Stojakovic / Peja Stojakovic,swollen left knee (DNP),knee
136,2010-12-08,Timberwolves,,Darko Milicic,bruised right quadriceps (DNP),bruise
137,2010-12-08,Wizards,,John Wall (a),sore left foot (DNP),foot
138,2010-12-09,Celtics,,Shaquille O'Neal,sore right calf (P) / sore left knee (CBC) (DNP),knee
139,2010-12-10,Bobcats,,Tyrus Thomas,quadriceps injury (DTD),quad
140,2010-12-10,Hawks,,Zaur Pachulia / Zaza Pachulia,illness (DTD),illness
141,2010-12-10,Jazz,,Raja Bell,groin injury (DTD),groin
142,2010-12-10,Raptors,,Jose Calderon,sore left foot (DTD),foot
143,2010-12-10,Thunder,,Nenad Krstic,back injury (DTD),back
146,2010-12-10,Warriors,,Stephen Curry,sprained right ankle (DTD),ankle
147,2010-12-11,Cavaliers,,Ryan Hollins,stomach virus (DTD),illness
148,2010-12-11,Jazz,,Kyrylo Fesenko,sprained left ankle (DNP),ankle
149,2010-12-11,Jazz,,Raja Bell,strained right abductor (DNP),groin
150,2010-12-11,Nuggets,,Carmelo Anthony,right knee patella tendinitis (DNP),knee
151,2010-12-11,Raptors,,Predrag Stojakovic / Peja Stojakovic,swollen left knee (DNP),knee
152,2010-12-12,Magic,,Chris Duhon,strained lower back (DNP),back
153,2010-12-13,Jazz,,Raja Bell,strained right abductor (DNP),groin
154,2010-12-13,Nets,,Damion James,surgery to insert screw to repair broken right foot (out indefinitely),foot
155,2010-12-14,Kings,,Tyreke Evans,left foot injury (DTD),foot
156,2010-12-14,Magic,,Mickael Pietrus,sprained left knee (DNP),knee
157,2010-12-14,Magic,,Quentin Richardson,sore left elbow (DNP),arm
158,2010-12-14,Nuggets,,Chauncey Billups,sprained right wrist (DNP),wrist
159,2010-12-14,Raptors,,Predrag Stojakovic / Peja Stojakovic,swollen left knee (DNP),knee
160,2010-12-15,Bucks,,John Salmons,back spasms (DNP),back
161,2010-12-15,Bulls,,Joakim Noah,torn ligament in right thumb (out indefinitely),hand/finger
162,2010-12-15,Celtics,,Shaquille O'Neal,sore right calf (DNP),calf
163,2010-12-15,Raptors,,Andrea Bargnani,sore left knee (DNP),knee
164,2010-12-15,Raptors,,Predrag Stojakovic / Peja Stojakovic,swollen left knee (DNP),knee
165,2010-12-15,Wizards,,Yi Jianlian / Jianlian Yi,sprained right knee (out indefinitely),knee
166,2010-12-16,Bulls,,Joakim Noah,surgery on right thumb to repair torn ligament (out indefinitely),hand/finger
167,2010-12-16,Celtics,,Rajon Rondo,sprained left ankle (DNP),ankle
168,2010-12-16,Celtics,,Shaquille O'Neal,sore right calf (DNP),calf
169,2010-12-16,Nets,,Anthony Morrow,strained right hamstring (DNP),hamstring
170,2010-12-16,Nuggets,,Chauncey Billups,torn ligament in right wrist (DNP),wrist
171,2010-12-16,Rockets,,Yao Ming,stress fracture in left ankle (out for season),ankle
172,2010-12-16,Spurs,,Tiago Splitter,strained right adductor (DTD),groin
173,2010-12-16,Wizards,,John Wallace,right knee tendinitis (DNP),knee
174,2010-12-17,Blazers,,Brandon Roy,sore left knee (DNP),knee
175,2010-12-17,Raptors,,Sonny Weems,sore lower back (DNP),back
176,2010-12-18,Blazers,,Brandon Roy,sore left knee (DNP),knee
177,2010-12-18,Blazers,,Marcus Camby,sore right shoulder (DNP),shoulder
178,2010-12-18,Blazers,,Nicolas Batum,sore right shoulder (DNP),shoulder
179,2010-12-18,Nuggets,,Chauncey Billups,torn ligament in right wrist (DNP),wrist
180,2010-12-18,Spurs,,George Hill,sprained right big toe (DNP),foot
181,2010-12-19,Celtics,,Rajon Rondo,sprained left ankle (DNP),ankle
182,2010-12-19,Nets,,Quinton Ross,bruised lower back (DNP),bruise
183,2010-12-19,Pistons,,Richard Hamilton,upset stomach (DNP),illness
184,2010-12-19,Pistons,,Rodney Stuckey,sore left big toe (DNP),foot
185,2010-12-19,Raptors,,Andrea Bargnani,sore right ankle (DNP),ankle
186,2010-12-19,Raptors,,Sonny Weems,back spasms (DNP),back
187,2010-12-20,Blazers,,Brandon Roy,sore left knee (DNP),knee
188,2010-12-20,Blazers,,Marcus Camby,strained right shoulder (DNP),shoulder
189,2010-12-20,Clippers,,Craig Smith,back injury (out indefinitely),back
190,2010-12-20,Spurs,,George Hill,sprained right big toe (DNP),foot
191,2010-12-20,Warriors,,Dan Gadzuric,strained left groin (DNP),groin
192,2010-12-20,Bucks,,Carlos Delfino,concussion (DNP),head
193,2010-12-21,Bucks,,Carlos Delfino,concussion (DNP),head
194,2010-12-21,Bucks,,Drew Gooden,sore left foot (DNP),foot
195,2010-12-21,Magic,,Malik Allen,sprained left ankle (DNP),ankle
196,2010-12-21,Nets,,Quinton Ross,bruised lower back (DNP),bruise
197,2010-12-21,Warriors,,Dan Gadzuric,strained left groin (DNP),groin
198,2010-12-22,Celtics,,Rajon Rondo,sprained left ankle (DNP),ankle
199,2010-12-22,Nets,,Quinton Ross,bruised lower back (DNP),bruise
200,2010-12-22,Raptors,,Jerryd Bayless,food poisoning (DNP),illness
201,2010-12-22,Raptors,,Sonny Weems,back spasms (DNP),back
202,2010-12-22,Spurs,,George Hill,sprained right big toe (DNP),foot
203,2010-12-23,Bucks,,Carlos Delfino,concussion (DNP),head
204,2010-12-23,Bucks,,Drew Gooden,sore left foot (DNP),foot
205,2010-12-23,Magic,,Daniel Orton,arthroscopic surgery on left knee (out for season),knee
206,2010-12-23,Spurs,,George Hill,sprained right big toe (DNP),foot
207,2010-12-25,Blazers,,Brandon Roy,sore left knee (DNP),knee
208,2010-12-25,Celtics,,Semih Erden,stomach virus (DTD),illness
209,2010-12-25,Magic,,Jason Williams,sore left foot (DNP),foot
210,2010-12-27,76ers,,Andre Iguodala,right Achilles tendinitis (DNP),illness
211,2010-12-27,Blazers,,Brandon Roy,sore left knee (DNP),knee
212,2010-12-27,Bucks,,Drew Gooden,sore left foot (DNP),foot
213,2010-12-27,Magic,,Jason Williams,sore left foot (DNP),foot
214,2010-12-27,Raptors,,Sonny Weems,back spasms (DNP),back
215,2010-12-28,Blazers,,Brandon Roy,sore left knee (DNP),knee
216,2010-12-28,Blazers,,Marcus Camby,sprained right ankle (P) / left ankle (CBC) (DNP),ankle
217,2010-12-28,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP),foot
218,2010-12-28,Magic,,Jason Williams,sore left foot (DNP),foot
219,2010-12-28,Magic,,Quentin Richardson,flu-like symptoms (DNP),illness
220,2010-12-28,Raptors,,Jose Calderon,sore ankle (DNP),ankle
221,2010-12-28,Raptors,,Sonny Weems,back spasms (DNP),back
222,2010-12-29,Cavaliers,,Maurice Williams / Mo Williams,strained left hip flexor (DNP),hip
223,2010-12-29,Celtics,,Semih Erden,upper respiratory infection (DNP),illness
224,2010-12-29,Jazz,,C.J. Miles,flu-like symptoms (DNP),illness
225,2010-12-29,Nuggets,,Kenyon Martin,sore left knee (DNP),knee
226,2010-12-29,Nuggets,,Nene / Nene Hilario / Maybyner Hilario,sore hamstring (DNP),hamstring
227,2010-12-30,Jazz,,C.J. Miles,flu (DNP),illness
228,2010-12-30,Jazz,,Mehmet Okur,strained lower back (DNP),back
229,2010-12-30,Magic,,Jason Williams,sore left foot (DNP),foot
230,2010-12-30,Magic,,Quentin Richardson,flu-like symptoms (DNP),illness
231,2010-12-30,Rockets,,Chuck Hayes,sprained right ankle (out indefinitely),ankle
232,2010-12-31,Cavaliers,,Anderson Varejao,fractured cheekbone (out indefinitely),face
233,2010-12-31,Hawks,,Marvin Williams,bruised back (DTD),bruise
234,2010-12-31,Nets,,Jordan Farmar,bone bruise in right knee (DNP),bruise
235,2010-12-31,Raptors,,Sonny Weems,back spasms (DNP),back
236,2010-12-31,Warriors,,Brandan Wright,strained lower back (out indefinitely),back
237,2010-12-31,Celtics,,Rajon Rondo,sprained left ankle (DNP),ankle
238,2011-01-01,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP),foot
239,2011-01-01,Cavaliers,,Daniel Gibson,bruised left thigh (DNP),bruise
240,2011-01-01,Cavaliers,,Maurice Williams / Mo Williams,strained left hip flexor (DNP),hip
241,2011-01-01,Grizzlies,,Rudy Gay,stomach virus (DNP),illness
242,2011-01-01,Grizzlies,,Xavier Henry,sore right knee (DNP),knee
243,2011-01-01,Jazz,,C.J. Miles,flu-like symptoms (DNP),illness
244,2011-01-01,Mavericks,,Shawn Marion,bruised thigh (DNP),bruise
245,2011-01-01,Nets,,Jordan Farmar,bone bruise in right knee (DNP),bruise
246,2011-01-02,Blazers,,Brandon Roy,sore left knee (DNP),knee
247,2011-01-02,Knicks,,Timofey Mozgov,shin injury (DTD),leg
248,2011-01-02,Raptors,,Jerryd Bayless,sprained left ankle (DNP),ankle
249,2011-01-02,Raptors,,Sonny Weems,back spasms (DNP),back
250,2011-01-03,76ers,,Spencer Hawes,strained back (DNP),back
251,2011-01-03,Knicks,,Danilo Gallinari,sprained left knee (out indefinitely),knee
252,2011-01-03,Pistons,,Chris Wilcox,groin injury (DTD),groin
254,2011-01-04,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP),foot
255,2011-01-04,Grizzlies,,O.J. Mayo,bronchitis (DNP),illness
256,2011-01-04,Grizzlies,,Xavier Henry,sore right knee (DNP),knee
257,2011-01-04,Mavericks,,Caron Butler,surgery on right knee to repair torn patella tendon (out for season),knee
258,2011-01-05,76ers,,Tony Battie,rotator cuff injury (DTD),shoulder
259,2011-01-05,Bobcats,,DeSagana Diop,surgery to repair ruptured right Achilles tendon (out for season),illness
260,2011-01-05,Bobcats,,Stephen Jackson,hyperextended left knee (DNP),knee
261,2011-01-05,Bucks,,Brandon Jennings,surgery on left foot (out indefinitely),foot
262,2011-01-05,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP),foot
263,2011-01-05,Jazz,,Paul Millsap,bruised right hip (DNP),bruise
264,2011-01-06,Cavaliers,,Daniel Gibson,sprained left ankle (DTD),ankle
265,2011-01-06,Suns,,Gani Lawal,torn ACL and partially torn MCL in right knee (out for season),knee
266,2011-01-07,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP),foot
267,2011-01-07,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP),foot
268,2011-01-07,Cavaliers,,Anderson Varejao,torn tendon in right ankle (out for season),ankle
269,2011-01-07,Cavaliers,,Anthony Parker,strained lower back (DNP),back
270,2011-01-07,Raptors,,Jerryd Bayless,sprained left ankle (DNP),ankle
271,2011-01-07,Rockets,,Yao Ming,surgery on left ankle to repair stress fracture (out for season),ankle
272,2011-01-07,Raptors,,Sonny Weems,back spasms (DNP),back
273,2011-01-08,Bucks,,Andrew Bogut,virus (DNP),illness
274,2011-01-08,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP),foot
275,2011-01-08,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP),foot
276,2011-01-08,Lakers,,Matt Barnes,torn cartilage in right knee (out indefinitely),knee
277,2011-01-08,Nets,,Devin Harris,bruised right quadriceps (DNP),bruise
278,2011-01-09,Cavaliers,,Anthony Parker,strained lower back (DNP),back
279,2011-01-09,Nuggets,,Ty Lawson,strained left knee (DNP),knee
280,2011-01-09,Raptors,,Sonny Weems,back spasms (DNP),back
281,2011-01-10,Rockets,,Brad Miller,sore right knee (DNP),knee
282,2011-01-11,Cavaliers,,Anderson Varejao,torn tendon in right ankle (DNP),ankle
283,2011-01-11,Cavaliers,,Anthony Parker,strained lower back (DNP),back
284,2011-01-11,Knicks,,Anthony Randolph,flu-like symptoms (DNP),illness
285,2011-01-11,Lakers,,Matt Barnes,surgery on right knee to repair torn lateral meniscus (out indefinitely),knee
286,2011-01-12,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP),foot
287,2011-01-12,Celtics,,Jermaine O'Neal,sore left knee (DNP),knee
288,2011-01-12,Grizzlies,,Tony Allen,sore left knee (DNP),knee
289,2011-01-12,Nets,,Anthony Morrow,strained right hamstring (DNP),hamstring
290,2011-01-12,Rockets,,Brad Miller,sore right knee (DNP),knee
291,2011-01-12,Warriors,,Reggie Williams,Achilles tendon injury (DTD),illness
292,2011-01-13,Heat,,LeBron James,sprained left ankle (DNP),ankle
293,2011-01-13,Wizards,,Andray Blatche,sprained right shoulder (DNP),shoulder
294,2011-01-14,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP),foot
295,2011-01-14,Cavaliers,,Christian Eyenga,sprained right ankle (DNP),ankle
296,2011-01-14,Cavaliers,,Daniel Gibson,sprained left ankle (DNP),ankle
297,2011-01-14,Celtics,,Jermaine O'Neal,sore left knee (DNP),knee
298,2011-01-14,Celtics,,Kevin Garnett,strained right leg (DNP),leg
299,2011-01-14,Knicks,,Ronny Turiaf,right hip pointer (DTD),hip
300,2011-01-14,Raptors,,Leandro Barbosa,strained right hamstring (DTD),hamstring
301,2011-01-14,Spurs,,Matt Bonner,sore right knee (DTD),knee
302,2011-01-14,Warriors,,Brandan Wright,strained lower back (DTD),back
303,2011-01-14,Cavaliers,,Joey Graham,strained right quadriceps (DNP),quad
304,2011-01-15,Cavaliers,,Christian Eyenga,sprained left ankle (DNP),ankle
305,2011-01-15,Cavaliers,,Daniel Gibson,sprained right ankle (DNP),ankle
306,2011-01-15,Cavaliers,,Joey Graham,strained right quadriceps (DNP),quad
307,2011-01-15,Grizzlies,,Tony Allen,sore left knee (DNP),knee
308,2011-01-15,Nets,,Anthony Morrow,strained right hamstring (DNP),hamstring
309,2011-01-15,Raptors,,Jerryd Bayless,sore/sprained left ankle (DNP),ankle
310,2011-01-15,Raptors,,Leandro Barbosa,strained right hamstring (DNP),hamstring
311,2011-01-16,Spurs,,Matt Bonner,sore right knee (DNP),knee
312,2011-01-17,Blazers,,Brandon Roy,arthroscopic surgery on both knees (out indefinitely),knee
313,2011-01-17,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP),foot
314,2011-01-17,Bulls,,Carlos Boozer,sprained left ankle (DNP),ankle
315,2011-01-17,Celtics,,Jermaine O'Neal,sore left knee (DNP),knee
316,2011-01-17,Grizzlies,,Tony Allen,sore left knee (DNP),knee
317,2011-01-17,Nets,,Anthony Morrow,strained right hamstring (DNP),hamstring
318,2011-01-17,Raptors,,Jerryd Bayless,sore left ankle (DNP),ankle
319,2011-01-17,Raptors,,Leandro Barbosa,strained right hamstring (DNP),hamstring
320,2011-01-17,Raptors,,Linas Kleiza,sore right knee (DNP),knee
321,2011-01-17,Rockets,,Patrick Patterson,upper respiratory distress / flu (DNP),illness
322,2011-01-18,Bulls,,Carlos Boozer,sprained left ankle (DNP),ankle
323,2011-01-19,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP),foot
324,2011-01-19,Bucks,,John Salmons,sore right hip (DNP),hip
325,2011-01-19,Celtics,,Jermaine O'Neal,sore left knee (DNP),knee
326,2011-01-19,Grizzlies,,Tony Allen,sore left knee (DNP),knee
327,2011-01-19,Raptors,,Leandro Barbosa,strained right hamstring (DNP),hamstring
328,2011-01-20,Bulls,,Carlos Boozer,sprained left ankle (DNP),ankle
329,2011-01-20,Blazers,,Marcus Camby,arthroscopic surgery on left knee to repair torn meniscus,knee
330,2011-01-20,Blazers,,Marcus Camby,recovering from arthroscopic surgery on left knee to repair torn meniscus (DNP),knee
331,2011-01-21,Bucks,,John Salmons,sore right hip (DNP),hip
332,2011-01-21,Celtics,,Jermaine O'Neal,sore left knee (DNP),knee
333,2011-01-21,Celtics,,Shaquille O'Neal,hip injury (DTD),hip
334,2011-01-21,Hornets,,Trevor Ariza,right ankle tendinitis / knee tendinitis (CBC) (DNP),ankle
335,2011-01-21,Pistons,,Charlie Villanueva,sprained left ankle (DTD),ankle
336,2011-01-21,Raptors,,Joey Dorsey,sore right knee (DTD),knee
337,2011-01-21,Raptors,,Leandro Barbosa,strained right hamstring (DNP),hamstring
338,2011-01-21,Spurs,,George Hill,sprained right thumb (DNP),hand/finger
339,2011-01-21,Wizards,,Kirk Hinrich,sprained elbow (DTD),arm
340,2011-01-22,Blazers,,Marcus Camby,recovering from arthroscopic surgery on left knee to repair torn meniscus (DNP),knee
341,2011-01-22,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP),foot
342,2011-01-22,Bucks,,John Salmons,strained right hip (DNP),hip
343,2011-01-22,Cavaliers,,Anthony Parker,strained lower back (DNP),back
344,2011-01-22,Celtics,,Jermaine O'Neal,sore left knee (DNP),knee
345,2011-01-22,Celtics,,Shaquille O'Neal,sore right knee (DNP),knee
346,2011-01-22,Heat,,Dwyane Wade,migraine headache (DNP),head
347,2011-01-22,Hornets,,Trevor Ariza,right knee tendinitis (DNP),knee
348,2011-01-22,Magic,,Jason Williams,foot injury (out indefinitely),foot
349,2011-01-22,Raptors,,Joey Dorsey,strained right patella tendon (DNP),knee
350,2011-01-22,Raptors,,Leandro Barbosa,strained right hamstring (DNP),hamstring
351,2011-01-22,Raptors,,Linas Kleiza,sore right knee (DNP),knee
352,2011-01-22,Spurs,,George Hill,sprained right thumb (DNP),hand/finger
353,2011-01-24,Bucks,,John Salmons,strained right hip (DNP),hip
354,2011-01-24,Cavaliers,,Anthony Parker,strained lower back (DNP),back
355,2011-01-24,Raptors,,Joey Dorsey,strained right patella tendon (DNP),knee
356,2011-01-24,Raptors,,Jose Calderon,flu-like symptoms / ankle injury (CBC) (DNP),ankle
